Title,Author,Cover URL,Number of Ratings,Average Rating,Description,Publication_year,Genres
The Catcher in the Rye,J.D. Salinger,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107.jpg,3633244,3.8,"It's Christmas time and Holden Caulfield has just been expelled from yet another school...Fleeing the crooks at Pencey Prep, he pinballs around New York City seeking solace in fleeting encounters—shooting the bull with strangers in dive hotels, wandering alone round Central Park, getting beaten up by pimps and cut down by erstwhile girlfriends. The city is beautiful and terrible, in all its neon loneliness and seedy glamour, its mingled sense of possibility and emptiness. Holden passes through it like a ghost, thinking always of his kid sister Phoebe, the only person who really understands him, and his determination to escape the phonies and find a life of true meaning.The Catcher in the Ryeis an all-time classic in coming-of-age literature- an elegy to teenage alienation, capturing the deeply human need for connection and the bewildering sense of loss as we leave childhood behind.J.D. Salinger's(1919–2010) classic novel of teenage angst and rebellion was first published in 1951. The novel was included onTime's 2005 list of the 100 best English-language novels written since 1923. It was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. It has been frequently challenged in the court for its liberal use of profanity and portrayal of sexuality and in the 1950's and 60's it was the novel that every teenage boy wants to read.",1951,"Classics, Fiction, Young Adult, Literature, School, Coming Of Age, Novels"
The Alchemist,Paulo Coelho,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1483412266i/865.jpg,3205157,3.91,"Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different, and far more satisfying, listening to our hearts, of recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, to follow our dreams.",1988,"Fiction, Fantasy, Philosophy, Novels, Self Help, Spirituality, Audiobook"
Steps to Christ,Ellen Gould White,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1431151414i/744260.jpg,2217,4.65,"Thousands have become acquainted with Jesus through this little book, Steps to Christ. And it has helped many more, including those who have walked with Him for years, to know Him better.Available in English and Spanish, the Friendship Edition of Steps to Christ reveals Jesus as Savior to the world through culturally sensitive cover art that is free of stereotypes and beautifully presented. Jesus is the Friend of all, and this friendship Edition validates that message visually as well as in the words of this inspirational best seller.In just thirteen short chapters, you'll discover the steps to finding a forever friendship with Jesus. You'll read about His love for you, repentance, faith and acceptance, growing like Him, the privilege of prayer, what to do with doubt, and how to spend your days rejoicing in your best Friend, Jesus.",1892,"Christian, Religion, Spirituality, Nonfiction, Theology, Christianity, Faith"
Lolita,Vladimir Nabokov,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1377756377i/7604.jpg,878094,3.88,"Librarian's note: Alternate cover edition of ISBN9780141182537.Humbert Humbert - scholar, aesthete and romantic - has fallen completely and utterly in love with Dolores Haze, his landlady's gum-snapping, silky skinned twelve-year-old daughter. Reluctantly agreeing to marry Mrs Haze just to be close to Lolita, Humbert suffers greatly in the pursuit of romance; but when Lo herself starts looking for attention elsewhere, he will carry her off on a desperate cross-country misadventure, all in the name of Love. Hilarious, flamboyant, heart-breaking and full of ingenious word play, Lolita is an immaculate, unforgettable masterpiece of obsession, delusion and lust.",1955,"Fiction, Literature, Russia, Novels, Romance, Russian Literature, Literary Fiction"
Heidi,Johanna Spyri,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388462714i/93.jpg,203614,4.03,"Little orphan Heidi goes to live high in the Alps with her gruff grandfather and brings happiness to all who know her on the mountain. When Heidi goes to Frankfurt to work in a wealthy household, she dreams of returning to the mountains and meadows, her friend Peter, and her beloved grandfather.",1880,"Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Historical"
Baby and Child Care,Benjamin Spock,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1438893123i/62344.jpg,2194,3.79,"OVER 50 MILLION COPIES IN PRINT!THE CLASSIC THAT CONTINUES TO GROW WITH THE TIMES! For sixty-five years, parents have relied on the expert advice of renowned pediatrician Dr. Benjamin Spock. But while children never change, issues and concerns do. Dr. Robert Needlman, himself a top-notch pediatrician, has newlyupdated and expandedthis timeless classic to speak to any parent who is raising children in our rapidly changing world. While still providing reassuring advice on age-old topics such as caring for a new baby, as well as accidents, illness, and injuries, this book also contains expanded information in many new areas, including:• Cutting-edge medical opinion on immunizations• Obesity and nutrition• Cultural diversity and nontraditional family structures• Children’s learning and brain development• The newest thinking on children with special needs• Environmental health• Increasingly common disorders such as ADHD, depression, and autism— including medications and behavioral interventions• Children and the media, including electronic games• Coping with family stress• And much, much moreWith an updated glossary of common medications and an authoritative list of the most reliable online resources, this invaluable guide is still the next best thing to Dr. Spock’s #1 rule of parenting:“Trust yourself. You know more than you think you do.”",1946,"Parenting, Nonfiction, Self Help, Reference, Health, Psychology, Classics"
Anne of Green Gables,L.M. Montgomery,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615094578i/8127.jpg,1019457,4.32,"This heartwarming story has beckoned generations of readers into the special world of Green Gables, an old-fashioned farm outside a town called Avonlea. Anne Shirley, an eleven-year-old orphan, has arrived in this verdant corner of Prince Edward Island only to discover that the Cuthberts—elderly Matthew and his stern sister, Marilla—want to adopt a boy, not a feisty redheaded girl. But before they can send her back, Anne—who simply must have more scope for her imagination and a real home—wins them over completely. A much-loved classic that explores all the vulnerability, expectations, and dreams of a child growing up,Anne of Green Gablesis also a wonderful portrait of a time, a place, a family… and, most of all, love.WITH AN AFTERWORD BY JENNIFER LEE CARELL",1908,"Classics, Fiction, Young Adult, Historical Fiction, Childrens, Middle Grade, Audiobook"
Black Beauty,Anna Sewell,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1578265482i/3685.jpg,285075,3.99,"As a young horse, Black Beauty is well-loved and happy. But when his owner is forced to sell him, his life changes drastically. He has many new owners—some of them cruel and some of them kind. All he needs is someone to love him again....Whether pulling an elegant carriage or a ramshackle cab, Black Beauty tries to live as best he can. This is his amazing story, told as only he could tell it.",1877,"Classics, Fiction, Childrens, Animals, Young Adult, Horses, Historical Fiction"
The Name of the Rose,Umberto Eco,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1415375471i/119073.jpg,373969,4.14,"The year is 1327. Franciscans in a wealthy Italian abbey are suspected of heresy, and Brother William of Baskerville arrives to investigate. When his delicate mission is suddenly overshadowed by seven bizarre deaths, Brother William turns to the logic of Aristotle, the theology of Aquinas, and the empirical insights of Roger Bacon to find the killer. He collects evidence, deciphers secret symbols and coded manuscripts, and digs into the eerie labyrinth of the abbey (“where the most interesting things happen at night”) armed with a wry sense of humor and a ferocious curiosity.",1980,"Fiction, Historical Fiction, Mystery, Historical, Literature, Italy, Crime"
The Eagle Has Landed,Jack Higgins,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347958282i/295961.jpg,57634,4.18,"In November of 1943, an elite team of Nazi paratroopers descends on British soil with a diabolical goal: to abduct Winston Churchill and cripple the Allied war effort. The mission, ordered by Hitler himself and planned by Heinrich Himmler, is led by ace agent Kurt Steiner and aided on the ground by IRA gunman Liam Devlin.As the deadly duo executes Hitler’s harrowing plot, only the quiet town of Studley Constable stands in their way. Its residents are the lone souls aware of the impending Nazi plan, and they must become the most unlikely of heroes as the fate of the war hangs in the balance.",1975,"Fiction, Thriller, Historical Fiction, War, Espionage, Adventure, World War II"
Watership Down,Richard  Adams,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405136931i/76620.jpg,488704,4.09,"Librarian's note: See alternate cover edition of ISBN13 9780380395866here.Set in England's Downs, a once idyllic rural landscape, this stirring tale of adventure, courage and survival follows a band of very special creatures on their flight from the intrusion of man and the certain destruction of their home. Led by a stouthearted pair of friends, they journey forth from their native Sandleford Warren through the harrowing trials posed by predators and adversaries, to a mysterious promised land and a more perfect society.",1972,"Classics, Fiction, Fantasy, Young Adult, Animals, Childrens, Adventure"
The Hite Report: A Nationwide Study of Female Sexuality,Shere Hite,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1266458158i/44462.jpg,802,3.87,"Sexual Studies, Female Sexuality, Gender & Social Studies, American History & Studies",1976,"Nonfiction, Feminism, Sexuality, Psychology, Science, Womens, Sociology"
Charlotte’s Web,E.B. White,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1628267712i/24178.jpg,1902691,4.2,"This beloved book by E. B. White, author ofStuart LittleandThe Trumpet of the Swan, is a classic of children's literature that is ""just about perfect."" This high-quality paperback features vibrant illustrations colorized by Rosemary Wells!Some Pig. Humble. Radiant. These are the words in Charlotte's Web, high up in Zuckerman's barn. Charlotte's spiderweb tells of her feelings for a little pig named Wilbur, who simply wants a friend. They also express the love of a girl named Fern, who saved Wilbur's life when he was born the runt of his litter.E. B. White's Newbery Honor Book is a tender novel of friendship, love, life, and death that will continue to be enjoyed by generations to come. This edition contains newly color illustrations by Garth Williams, the acclaimed illustrator of E. B. White'sStuart Littleand Laura Ingalls Wilder's Little House series, among many other books.",1952,"Fiction, Childrens, Classics, Fantasy, Young Adult, Middle Grade, Animals"
The Ginger Man,J.P. Donleavy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348768755i/127020.jpg,10876,3.61,"First published in Paris in 1955 and originally banned in America, J. P. Donleavy's first novel is now recognized the world over as a masterpiece and a modern classic of the highest order. Set in Ireland just after World War II, The Ginger Man is J. P. Donleavy's wildly funny, picaresque classic novel of the misadventures of Sebastian Dangerfield, a young American ne'er-do-well studying at Trinity College in Dublin. Dangerfield's appetite for women, liquor, and general roguishness is insatiable--and he satisfies it with endless charm.",1955,"Fiction, Classics, Ireland, Humor, Literature, Irish Literature, Novels"
The Tale of Peter Rabbit,Beatrix Potter,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1485118382i/19321.jpg,250444,4.22,"""Now, my dears,""said old Mrs Rabbit one morning, ""you may go into the fields or down the lane, but don't go into Mr. McGregor's garden.""Follow the story of naughty Peter Rabbit as he squeezes—predictably—under the gate into Mr. McGregor's garden and finds himself in all kinds of trouble! But how does Peter Rabbit get himself out of this tricky situation? Beatrix Potter's story about one mischievous but ultimately endearing little creature will tell us, accompanied by beautiful illustrations and timeless verses which have transcended generations.'The Tale of Peter Rabbit',first published in 1902, is still today one ofBeatrix Potter'smost popular and well-loved tales. It is the first of the illustrious series that isThe World of Beatrix Potter',and a story which has endured retelling after retelling at bedtimes all over the world.Beatrix Potter(1866–1943) loved the countryside and spent much of her childhood drawing and studying animals.'The Tale of Peter Rabbit',first published in 1902, was her first book. She later went on to publish more than twenty tales and collections of rhymes.Age Rating: 3–12+ / Preschool - 2+ / Lexile Measure AD660L",1902,"Childrens, Classics, Picture Books, Fiction, Animals, Fantasy, Short Stories"
Harry Potter and the Deathly Hallows,J.K. Rowling,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1663805647i/136251.jpg,3833451,4.62,"Harry has been burdened with a dark, dangerous and seemingly impossible task: that of locating and destroying Voldemort's remaining Horcruxes. Never has Harry felt so alone, or faced a future so full of shadows. But Harry must somehow find within himself the strength to complete the task he has been given. He must leave the warmth, safety and companionship of The Burrow and follow without fear or hesitation the inexorable path laid out for him...In this final, seventh installment of the Harry Potter series, J.K. Rowling unveils in spectacular fashion the answers to the many questions that have been so eagerly awaited.",2007,"Fantasy, Young Adult, Fiction, Magic, Childrens, Audiobook, Adventure"
Jonathan Livingston Seagull,Richard Bach,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432222358i/71728.jpg,258122,3.86,"This is a story for people who follow their hearts and make their own rules...people who get special pleasure out of doing something well, even if only for themselves...people who know there's more to this living than meets the eye: they’ll be right there with Jonathan, flying higher and faster than ever they dreamed.Jonathan Livingston Seagull is no ordinary bird. He believes it is every gull's right to fly, to reach the ultimate freedom of challenge and discovery, finding his greatest reward in teaching younger gulls the joy of flight and the power of dreams. The special 20th anniversary release of this spiritual classic!",1970,"Fiction, Classics, Philosophy, Fantasy, Spirituality, Inspirational, Self Help"
A Message to Garcia,Elbert Hubbard,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1349017897i/62845.jpg,3380,3.76,"Before becoming the basis for two motion pictures, A Message to Garcia was written as an inspirational essay by Elbert Hubbard. This popular work is about a soldier who takes the initiative to accomplish a daunting and difficult task without questions or objections and graciously accomplishes the task. Often used in business and life as a motivational example to readers of applying a positive attitude towards achieving a successful life.",1899,"Leadership, Military Fiction, Classics, Fiction, Philosophy, Business, War"
Sophie’s World,Jostein Gaarder,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1343459906i/10959.jpg,266274,3.96,"An alternative cover for this ISBN can be foundhereOne day fourteen-year-old Sophie Amundsen comes home from school to find in her mailbox two notes, with one question on each: ""Who are you?"" and ""Where does the world come from?"" From that irresistible beginning, Sophie becomes obsessed with questions that take her far beyond what she knows of her Norwegian village. Through those letters, she enrolls in a kind of correspondence course, covering Socrates to Sartre, with a mysterious philosopher, while receiving letters addressed to another girl. Who is Hilde? And why does her mail keep turning up? To unravel this riddle, Sophie must use the philosophy she is learning—but the truth turns out to be far more complicated than she could have imagined.",1991,"Fiction, Classics, Young Adult, Novels, Fantasy, Literature, Contemporary"
Angels & Demons,Dan       Brown,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1696691404i/960.jpg,3257669,3.94,"An ancient secret brotherhood.A devastating new weapon of destruction.When world-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a mysterious symbol -- seared into the chest of a murdered physicist -- he discovers evidence of the unimaginable: the resurgence of an ancient secret brotherhood known as the Illuminati...the most powerful underground organization ever to walk the earth. The Illuminati has now surfaced to carry out the final phase of its legendary vendetta against its most hated enemy -- the Catholic Church.Langdon's worst fears are confirmed on the eve of the Vatican's holy conclave, when a messenger of the Illuminati announces they have hidden an unstoppable time bomb at the very heart of Vatican City. With the countdown under way, Langdon jets to Rome to join forces with Vittoria Vetra, a beautiful and mysterious Italian scientist, to assist the Vatican in a desperate bid for survival.Embarking on a frantic hunt through sealed crypts, dangerous catacombs, deserted cathedrals, and even the most secretive vault on earth, Langdon and Vetra follow a 400-year-old trail of ancient symbols that snakes across Rome toward the long-forgotten Illuminati lair...a clandestine location that contains the only hope for Vatican salvation.An explosive international thriller,Angels & Demonscareens from enlightening epiphanies to dark truths as the battle between science and religion turns to war.",2000,"Fiction, Mystery, Thriller, Mystery Thriller, Suspense, Adventure, Crime"
How the Steel Was Tempered,Nikolai Ostrovsky,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1256980267i/860566.jpg,4557,3.87,"How the Steel was A Novel in Two Parts [hardcover] Nikolai Ostrovsky,R. Prokofieva,V. Minaev [Jan 01, 1973]… 0714705853",1932,"Fiction, Classics, Russia, Russian Literature, Literature, War, Novels"
War and Peace,Leo Tolstoy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1413215930i/656.jpg,339399,4.16,"In Russia's struggle with Napoleon, Tolstoy saw a tragedy that involved all mankind.War and Peacebroadly focuses on Napoleon’s invasion of Russia in 1812 and follows three of the most well-known characters in literature: Pierre Bezukhov, the illegitimate son of a count who is fighting for his inheritance and yearning for spiritual fulfillment; Prince Andrei Bolkonsky, who leaves his family behind to fight in the war against Napoleon; and Natasha Rostov, the beautiful young daughter of a nobleman who intrigues both men.As Napoleon’s army invades, Tolstoy brilliantly follows characters from diverse backgrounds—peasants and nobility, civilians and soldiers—as they struggle with the problems unique to their era, their history, and their culture. And as the novel progresses, these characters transcend their specificity, becoming some of the most moving—and human—figures in world literature.Tolstoy gave his personal approval to this translation, published here in a new single volume edition, which includes an introduction by Henry Gifford, and Tolstoy's important essay `Some Words about War and Peace'.",1869,"Classics, Fiction, Historical Fiction, Russia, Russian Literature, Literature, War"
Pinocchio,Carlo Collodi,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327938097i/180617.jpg,82626,3.85,"A timeless classic to be read over and over.This is the story of Pinocchio, filled with harrowing yet inspiring adventures. Carved by a poor man named Geppetto, Pinocchio is a wooden puppet that comes to life. He soon leaves his maker and commences a journey of misadventures.Pinocchio has a good heart, but he is disobedient and lazy and often has poor judgment. And when he lies, Pinocchio's nose grows longer! Follow this mischievous puppet as he goes to the""Field of Miracles"",where he plants gold coins to try to make his wealth grow. Thrill as he is pursued by assassins. And marvel as he becomes the unwitting star of a circus show and lives a life of ease in the""Land of Boobies,""where boys can play all day and never have to go to school. Of course, Pinocchio gets into trouble along the way.From the villainous Cat and Fox, who try to steal his gold coins, to the gigantic Dogfish, a terrifying sea monster that swallows him, Pinocchio encounters menacing characters who often lead him to trouble. But Pinocchio also befriends a good Fairy who loves him and wants to help him escape his misfortunes. She even promises the puppet that if he learns to be good, to study, and to work hard, he will become a real boy. Can Pinocchio turn his life around? And will he ever see his ""papa,"" Geppetto again?Carlo Collodi(1826–1890) was born Carlo Lorenzini on November 24, 1826, in Florence, Italy. In 1848 he enlisted to fight in the Italian War of Independence and founded the daily satirical newspaper'Il Lampione'.Collodi continued to write political and humorous novels until 1876, when he began to write children's books. In 1881'Pinocchio'was originally introduced as a newspaper serial in the children's section. Since its first full-length publication in 1883,'Pinocchio'has been translated in over 260 languages and is one of the most popular children's stories ever told.",1883,"Classics, Fiction, Fantasy, Childrens, Italian Literature, Italy, Adventure"
You Can Heal Your Life,Louise L. Hay,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1176433520i/129603.jpg,81496,4.15,"Louise’s key message in this powerful work is: “If we are willing to do the mental work, almost anything can be healed.” Louise explains how limiting beliefs and ideas are often the cause of illness, and how you can change your thinking…and improve the quality of your life.",1984,"Self Help, Nonfiction, Spirituality, Health, Psychology, Personal Development, Inspirational"
Kane & Abel,Jeffrey Archer,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388965561i/78983.jpg,124891,4.34,"Born on the same day near the turn of the century on opposite sides of the world, both men are brought together by fate and the quest of a dream. These two men -- ambitious, powerful, ruthless -- are locked in a relentless struggle to build an empire, fuelled by their all-consuming hatred. Over 60 years and three generations, through war, marriage, fortune, and disaster, Kane and Abel battle for the success and triumph that only one man can have.",1979,"Fiction, Historical Fiction, Thriller, Classics, Drama, Historical, Novels"
The Diary of a Young Girl,Anne Frank,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1560816565i/48855.jpg,3864310,4.19,"Discovered in the attic in which she spent the last years of her life, Anne Frank’s remarkable diary has become a world classic—a powerful reminder of the horrors of war and an eloquent testament to the human spirit.In 1942, with the Nazis occupying Holland, a thirteen-year-old Jewish girl and her family fled their home in Amsterdam and went into hiding. For the next two years, until their whereabouts were betrayed to the Gestapo, the Franks and another family lived cloistered in the “Secret Annexe” of an old office building. Cut off from the outside world, they faced hunger, boredom, the constant cruelties of living in confined quarters, and the ever-present threat of discovery and death. In her diary Anne Frank recorded vivid impressions of her experiences during this period. By turns thoughtful, moving, and surprisingly humorous, her account offers a fascinating commentary on human courage and frailty and a compelling self-portrait of a sensitive and spirited young woman whose promise was tragically cut short.--back cover",1947,"Nonfiction, Biography, Memoir, Classics, Historical, Holocaust, Autobiography"
